Ticker,Enterprise Value,Net Debt,Equity Value,Intrinsic Value per Share,P/E Median,EV/EBITDA Median,P/E Valuation,EV/EBITDA Valuation,Most Recent Dividend,Dividend Growth Rate,Intrinsic Value,Weighted Valuation,Current Price,Valuation Ratio,Valuation Category
AAPL,3194469.5816807617,242859.0,2951610.5816807617,0.02645065819708987,24.54996006548373,0.5326342983055998,0.7465082261969958,69996.6689461287,0.98,0.05,0.14942665116140605,0.3390688839899154,243.0,0.00139534520160459,Overvalued
AMZN,40931694.25985935,238702.0,40692992.25985935,0.5309255940821842,51.85186589975349,2.9755763221508165,0.5117671047706087,201875.0,0.0,,0.0,0.41707707954111717,222.05999755859375,0.0018782179776934624,Overvalued
DIS,214788.84028330303,84695.0,130093.84028330306,0.009726026096123622,54.70840063593004,7.869368428382424,0.08823939657516994,133023.8039133765,0.75,0.05,0.114357130990872,0.06205759526669182,116.69000244140625,0.0005318158708399454,Overvalued
GOOG,,,,0.0,,,0.0,,0.0,,0.0,0.0,175.24000549316406,0.0,Overvalued
JNJ,427814.4387542248,75857.0,351957.4387542248,0.019807828854526328,23.929453059638377,2.281163752580333,0.27288053470535173,69379.31437097826,4.7,0.0583302935149203,1.0,0.3170753454239512,149.25999450683594,0.002124315671266017,Overvalued
KO,,,,0.0,,,0.0,,1.84,0.0336209725234115,0.17864523694967666,0.035729047389935334,62.85499954223633,0.0005684360456629497,Overvalued
META,4025354.88491403,10953.0,4014401.88491403,0.2123479923508698,18.37205579044523,2.698839876849979,0.2330181171657978,170704.321050638,0.0,,0.0,0.17814644380666705,610.2100219726562,0.0002919428350762975,Overvalued
MSFT,2715914.4791639927,168143.0,2547771.4791639927,0.04642744719807728,34.975930128107684,1.9984010698296413,1.0,258659.04567126,2.93,0.1004445505325322,0.0,0.41857097887923095,444.4750061035156,0.0009417199462994062,Overvalued
NVDA,18185556.201392543,-3234.0,18188790.201392543,1.0,51.75077253218884,2.372893446277307,0.4996054359611664,81817.36602764155,0.16,0.05,0.024396187944719358,0.6047214119734104,145.6800994873047,0.004151022782807125,Overvalued
PG,407474.87256309774,62330.0,345144.87256309774,0.019836695932239152,23.349313107448104,2.245148306099957,0.11270034451360846,52053.7634769275,3.8286,0.0545579946398994,0.6913421996425017,0.19128325610683938,175.67999267578125,0.0010888163939069264,Overvalued
TSLA,322029.2397863844,13372.0,308657.2397863844,0.01312816182195477,41.90570106226831,3.7849676084577135,0.20387073702467134,51316.59083546968,0.0,,0.0,0.08679955953865046,372.9704895019531,0.00023272500635253588,Overvalued
